*******************************************************************************
JPL/HORIZONS              101955 Bennu (1999 RQ36)         2021-May-13 10:41:14
Rec #:  101955 (+COV) Soln.date: 2018-May-19_06:45:18    # obs: 518 (1999-2018)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455562.5 ! 2011-Jan-01.00 (TDB)         Residual RMS= .23238
   EC= .2037451084785423   QR= .8968943641658774   TP= 2455439.1419457849
   OM= 2.060867329373625   W=  66.22306846088361   IN= 6.034939533607825
   A= 1.126391025934071    MA= 101.7039479471865   ADIST= 1.355887687702265
   PER= 1.19548            N= .824461327           ANGMOM= .017873901
   DAN= .99768             DDN= 1.17626            L= 68.16623319999999
   B= 5.5210405            MOID= .0032228          TP= 2010-Aug-30.6419457849
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 5.2E-9              RAD= .246               ROTPER= 4.297
   H= 20.19                G= -.080                B-V= .640
                           ALBEDO= .046            STYP= B
 
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):
   AMRAT=  3.070000048E-6
   A1= 0.                  A2= -4.614425051841E-14 A3= 0.
 Non-standard or simulated/proxy model:
   ALN=  1.            NK=  0.       NM=  2.25     NN=  0.       R0=  1.
 
ASTEROID comments: 
1: soln ref.= JPL#97, PHA  OCC=0       radar(22 delay, 7 Dop.)
2: source=ORB; Nongravitational accels. using nonstandard g(r) = (1 au/ r)^2.25
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu May 13 10:41:14 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 101955 Bennu (1999 RQ36)        {source: JPL#97}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Aug-03 00:00:00.0000 TDB
Stop  time      : A.D. 2021-May-30 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455562.5 ! 2011-Jan-01.00 (TDB)         Residual RMS= .23238        
   EC= .2037451084785423   QR= .8968943641658774   TP= 2455439.1419457849      
   OM= 2.060867329373625   W=  66.22306846088361   IN= 6.034939533607825       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.190961322197678E+00  Y=-2.079065368183799E-01  Z=-1.123139104747777E-01
  VX= 8.799332826957187E-05 VY=-1.305063200790120E-02 VZ=-7.375163470663740E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 5.2E-9              RAD= .246               ROTPER= 4.297               
   H= 20.19                G= -.080                B-V= .640                   
                           ALBEDO= .046            STYP= B                     
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  3.070000048E-6                                                      
   A1= 0.                  A2= -4.614425051841E-14 A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.25     NN=  0.       R0=  1.       
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2459064.500000000, A.D. 2020-Aug-03 00:00:00.0000, -1.771200169146505E+08, -5.748793053256947E+07, -5.516699445654344E+06,  4.41223190E+00,  1.68284257E+01,  1.81969963E+00,
2459065.500000000, A.D. 2020-Aug-04 00:00:00.0000, -1.767932355172996E+08, -5.963567781994712E+07, -5.744705914841872E+06,  4.56020419E+00,  1.68020144E+01,  1.90063015E+00,
2459066.500000000, A.D. 2020-Aug-05 00:00:00.0000, -1.764394537016248E+08, -6.177412093054297E+07, -5.971829283465739E+06,  4.70706078E+00,  1.67732017E+01,  1.98392261E+00,
2459067.500000000, A.D. 2020-Aug-06 00:00:00.0000, -1.760588903143259E+08, -6.390299061606108E+07, -6.198040296316970E+06,  4.85276128E+00,  1.67420190E+01,  2.06924219E+00,
2459068.500000000, A.D. 2020-Aug-07 00:00:00.0000, -1.756517646304546E+08, -6.602202198329145E+07, -6.423310156675361E+06,  4.99726721E+00,  1.67084983E+01,  2.15629770E+00,
2459069.500000000, A.D. 2020-Aug-08 00:00:00.0000, -1.752182963042324E+08, -6.813095441423433E+07, -6.647610518053286E+06,  5.14054179E+00,  1.66726716E+01,  2.24483577E+00,
2459070.500000000, A.D. 2020-Aug-09 00:00:00.0000, -1.747587053223891E+08, -7.022953148725435E+07, -6.870913476039048E+06,  5.28254987E+00,  1.66345712E+01,  2.33463568E+00,
2459071.500000000, A.D. 2020-Aug-10 00:00:00.0000, -1.742732119599376E+08, -7.231750089928228E+07, -7.093191560241796E+06,  5.42325774E+00,  1.65942296E+01,  2.42550468E+00,
2459072.500000000, A.D. 2020-Aug-11 00:00:00.0000, -1.737620367383017E+08, -7.439461438907911E+07, -7.314417726339988E+06,  5.56263307E+00,  1.65516793E+01,  2.51727398E+00,
2459073.500000000, A.D. 2020-Aug-12 00:00:00.0000, -1.732254003857171E+08, -7.646062766157539E+07, -7.534565348235000E+06,  5.70064483E+00,  1.65069531E+01,  2.60979526E+00,
2459074.500000000, A.D. 2020-Aug-13 00:00:00.0000, -1.726635237998276E+08, -7.851530031329775E+07, -7.753608210311506E+06,  5.83726320E+00,  1.64600838E+01,  2.70293773E+00,
2459075.500000000, A.D. 2020-Aug-14 00:00:00.0000, -1.720766280124015E+08, -8.055839575888959E+07, -7.971520499805566E+06,  5.97245953E+00,  1.64111045E+01,  2.79658560E+00,
2459076.500000000, A.D. 2020-Aug-15 00:00:00.0000, -1.714649341560929E+08, -8.258968115873466E+07, -8.188276799281735E+06,  6.10620624E+00,  1.63600481E+01,  2.89063590E+00,
2459077.500000000, A.D. 2020-Aug-16 00:00:00.0000, -1.708286634331811E+08, -8.460892734768851E+07, -8.403852079219799E+06,  6.23847681E+00,  1.63069479E+01,  2.98499674E+00,
2459078.500000000, A.D. 2020-Aug-17 00:00:00.0000, -1.701680370862150E+08, -8.661590876492168E+07, -8.618221690712061E+06,  6.36924574E+00,  1.62518370E+01,  3.07958573E+00,
2459079.500000000, A.D. 2020-Aug-18 00:00:00.0000, -1.694832763704995E+08, -8.861040338487718E+07, -8.831361358271349E+06,  6.49848847E+00,  1.61947488E+01,  3.17432869E+00,
2459080.500000000, A.D. 2020-Aug-19 00:00:00.0000, -1.687746025283576E+08, -9.059219264934301E+07, -9.043247172750566E+06,  6.62618139E+00,  1.61357166E+01,  3.26915854E+00,
2459081.500000000, A.D. 2020-Aug-20 00:00:00.0000, -1.680422367651075E+08, -9.256106140064053E+07, -9.253855584373508E+06,  6.75230178E+00,  1.60747737E+01,  3.36401439E+00,
